[WARN][KafkaAdmin] 2025/03/26 05:35:42.489081 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:43.498273 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:44.506214 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:45.508560 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:46.516744 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:47.526758 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:48.537159 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:49.544419 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:50.558040 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:51.561228 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:52.563994 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:53.570381 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:54.578541 Topic test-topic has 1 partitions, expected 50
[INFO][ProducerMain] 2025/03/26 05:35:55.982974 Starting producer in dev environment
[INFO][KafkaAdmin] 2025/03/26 05:35:55.988109 Creating topic test-topic with 50 partitions and replication factor 1
[INFO][KafkaAdmin] 2025/03/26 05:35:55.988710 Topic test-topic created successfully
[WARN][KafkaAdmin] 2025/03/26 05:35:55.989614 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:56.993663 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:57.998490 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:59.005609 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:00.012493 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:01.018668 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:02.022755 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:03.026982 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:04.031506 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:05.038611 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:06.046520 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:07.051739 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:08.060474 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:09.066961 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:10.074825 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:11.084762 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:12.092608 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:13.099918 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:14.105921 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:15.108574 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:16.114222 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:17.121088 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:18.127255 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:19.134340 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:20.141235 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:21.148032 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:22.155087 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:23.164746 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:24.171656 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:25.179453 Topic test-topic has 1 partitions, expected 50
[INFO][ProducerMain] 2025/03/26 05:36:26.587749 Starting producer in dev environment
[INFO][KafkaAdmin] 2025/03/26 05:36:26.592223 Creating topic test-topic with 50 partitions and replication factor 1
[INFO][KafkaAdmin] 2025/03/26 05:36:26.592896 Topic test-topic created successfully
[WARN][KafkaAdmin] 2025/03/26 05:36:26.593953 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:27.599500 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:28.604247 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:29.609324 Topic test-topic has 1 partitions, expected 50
