[WARN][KafkaAdmin] 2025/03/26 05:36:21.147744 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:22.155246 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:23.164743 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:24.171612 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:25.179668 Topic test-topic has 1 partitions, expected 50
[INFO][ProducerMain] 2025/03/26 05:36:26.563304 Starting producer in dev environment
[INFO][KafkaAdmin] 2025/03/26 05:36:26.573086 Creating topic test-topic with 50 partitions and replication factor 1
[INFO][KafkaAdmin] 2025/03/26 05:36:26.574764 Topic test-topic created successfully
[WARN][KafkaAdmin] 2025/03/26 05:36:26.576592 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:27.581279 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:36:28.588092 Topic test-topic has 1 partitions, expected 50
